S.No,Name of City,State,Type,Population (2011),Population class,,,,,
1,Mumbai,Maharashtra,Municipal Corporation / Corporation,"1,35,97,924",Class I,,,,,
2,Delhi,Delhi,Municipal Corporation / Corporation,"1,10,07,835",Class I,,,,,
3,Bengaluru,Karnataka,Municipal Corporation / Corporation,"84,25,970",Class I,,,,,
4,Ahmedabad,Gujarat,Municipal Corporation / Corporation.,"72,08,200",Class I,,,,,
5,Hyderabad,Telangana,Municipal Corporation / Corporation,"68,09,970",Class I,,,,,
6,Chennai,Tamil Nadu,Municipal Corporation / Corporation.,"46,81,087",Class I,,,,,
7,Kolkata,West Bengal,Municipal Corporation / Corporation,"44,86,679",Class I,,,,,
8,Pune,Maharashtra,Urban Agglomeration,"37,60,636",,,,,,
9,Jaipur,Rajasthan,Municipal Corporation / Corporation,"30,73,350",Class I,,,,,
10,Surat,Gujarat,Municipal Corporation / Corporation.,"28,76,374",,,,,,
11,Lucknow,Uttar Pradesh,Municipal Corporation / Corporation,"28,15,601",Class I,,,,,
12,Kanpur,Uttar Pradesh,Municipal Corporation / Corporation,"27,67,031",Class I,,,,,
13,Nagpur,Maharashtra,Municipal Corporation / Corporation,"24,05,421",Class I,,,,,
14,Patna,Bihar,Municipal Corporation / Corporation.,"22,31,554",,,,,,
15,Indore,Madhya Pradesh,Municipal Corporation / Corporation.,"19,60,631",Class I,,,,,
16,Thane,Maharashtra,Municipal Corporation / Corporation.,"18,18,872",Class I,,,,,
17,Bhopal,Madhya Pradesh,Municipal Corporation / Corporation.,"17,95,648",Class I,,,,,
18,Visakhapatnam,Andhra Pradesh,Municipal Committee.,"17,30,320",Class I,,,,,
19,Vadodara,Gujarat,Municipal Committee.,"16,66,703",Class I,,,,,
20,Firozabad,Uttar Pradesh,Census town.,"16,45,675",Class I,,,,,
21,Ludhiana,Punjab,Municipal Corporation / Corporation.,"16,13,878",Class I,,,,,
